id,o,os,d,ds,h,hs,sw_id,name
1,0.17201629600989632,0.20455671169542883,-0.24898269069387038,0.20330264502293555,0.31580453506167666,0.062388469410166784,1514,ADO Den Haag
2,0.859714704881642,0.1840344084847595,0.4581921314288251,0.23925519431331327,0.31580453506167666,0.062388469410166784,1515,Ajax
3,0.24999125850546547,0.20198081191361633,0.1251696964803171,0.21685371581395432,0.31580453506167666,0.062388469410166784,1516,AZ
4,0.6607825490463721,0.18956640246090256,0.5835087810920899,0.24599037987094335,0.31580453506167666,0.062388469410166784,1517,PSV
5,0.3660495537224097,0.19803628779411675,0.1903738495829889,0.22287581323127695,0.31580453506167666,0.062388469410166784,1518,Feyenoord
6,0.2783532202717072,0.20265972792321504,-0.40295213493341064,0.19728306727050401,0.31580453506167666,0.062388469410166784,1519,Heerenveen
7,0.18014193560302696,0.20593334839460542,-0.38327602179044334,0.1977215383166985,0.31580453506167666,0.062388469410166784,1521,Willem II
8,0.19333663128310039,0.20481228865186518,-0.04017322695162972,0.21056520126161743,0.31580453506167666,0.062388469410166784,1523,Utrecht
9,-0.49994053247069264,0.24072366966838707,-0.38189818202912945,0.19935789377504512,0.31580453506167666,0.062388469410166784,1524,NAC Breda
10,-0.24411612546313163,0.22309447350869263,0.1938005956102725,0.22132090044127045,0.31580453506167666,0.062388469410166784,1527,Groningen
11,-0.10883379774352937,0.21568876589542907,-0.13644383290772005,0.20660360596297475,0.31580453506167666,0.062388469410166784,1529,PEC Zwolle
12,0.33259947157981673,0.1993127984726603,-0.04950825398739702,0.21047063722089515,0.31580453506167666,0.062388469410166784,1530,Vitesse
13,-0.04427106693460143,0.21459214662787274,-0.4638534332971045,0.19663531182481647,0.31580453506167666,0.062388469410166784,1532,Excelsior
14,0.22581667400090713,0.203268459675977,-0.3289421183143874,0.20010561246518152,0.31580453506167666,0.062388469410166784,1536,Heracles
15,-0.2369579023858807,0.22449527370165687,-0.4047658293975974,0.1967566840518466,0.31580453506167666,0.062388469410166784,1537,De Graafschap
16,-0.03801116990870479,0.21624305678422578,-0.23913167141983918,0.20279945642327207,0.31580453506167666,0.062388469410166784,1538,VVV
17,-0.16434952460042523,0.22164546678759378,-0.3662249153191811,0.19740109121833996,0.31580453506167666,0.062388469410166784,1539,Emmen
18,0.04072133967487479,0.2117665931649777,-0.48030315198216633,0.19598220725772303,0.31580453506167666,0.062388469410166784,1551,Fortuna Sittard
