team,id,o,os,d,ds,h,hs
Bury,1,0.2770950214985845,0.21,0.19905086083652648,0.21,0.24656634163149352,0.052337352227729145
Macclesfield Town,2,-0.22,0.20110138904924735,-0.22,0.1869107112446074,0.24656634163149352,0.052337352227729145
Cambridge United,3,-0.017096246697766986,0.19216448355398888,-0.04934832244615846,0.18962005479549854,0.24656634163149352,0.052337352227729145
Carlisle United,4,0.08007246348184206,0.18958530371527368,0.05016913715043961,0.1937179269905721,0.24656634163149352,0.052337352227729145
Cheltenham Town,5,0.16927185251451043,0.18490725230735042,-0.252877855287907,0.18246243620471028,0.24656634163149352,0.052337352227729145
Tranmere Rovers,6,-0.22,0.19874217867721022,-0.22,0.17729053464394598,0.24656634163149352,0.052337352227729145
Colchester United,7,-0.07609606353480006,0.19561743370075993,0.09308993152399671,0.19334524485641677,0.24656634163149352,0.052337352227729145
Milton Keynes Dons,8,0.21,0.18564605047194696,0.21,0.1997487278540414,0.24656634163149352,0.052337352227729145
Crawley Town,9,0.022613253648814478,0.1908526884756545,-0.1467331678211656,0.18587692217609503,0.24656634163149352,0.052337352227729145
Crewe Alexandra,10,0.09473463376269955,0.1878863837675178,-0.276287655535948,0.1802516965424266,0.24656634163149352,0.052337352227729145
Exeter City,11,0.11185248125858471,0.18600402006746353,0.04844141749120011,0.1931511383323987,0.24656634163149352,0.052337352227729145
Forest Green Rovers,12,-0.04136394457382761,0.19267860330354525,-0.2985596801401939,0.17935515972661856,0.24656634163149352,0.052337352227729145
Grimsby Town,13,-0.2974479015779671,0.2053528987946002,-0.13632551081783284,0.18663121660803422,0.24656634163149352,0.052337352227729145
Lincoln City,14,0.10732153551704318,0.18653584020532996,0.16506365797419173,0.2001362424495681,0.24656634163149352,0.052337352227729145
Northampton Town,15,0.21,0.17391260508495798,0.21,0.2013573231295682,0.24656634163149352,0.052337352227729145
Mansfield Town,16,0.15480874495273145,0.1859230425994371,0.08385633861129269,0.19616902405834086,0.24656634163149352,0.052337352227729145
Morecambe,17,-0.3289179563314936,0.2084987174544227,0.029014400298435557,0.19247578522110148,0.24656634163149352,0.052337352227729145
Newport County,18,-0.018011631154865555,0.19225196174054252,-0.016662373699231493,0.1909299297961314,0.24656634163149352,0.052337352227729145
Notts County,19,0.20850631381127835,0.18273541537593463,0.1608363960869241,0.19879663332978925,0.24656634163149352,0.052337352227729145
Port Vale,20,-0.1457731276780372,0.19829985960855456,-0.15657306854765543,0.18293245857357177,0.24656634163149352,0.052337352227729145
Stevenage,21,0.0552329658938697,0.18890324069498335,-0.133125170207056,0.1867810662236852,0.24656634163149352,0.052337352227729145
Swindon Town,22,0.16516351525702874,0.18660777057950445,-0.13802217742776515,0.18628504178855315,0.24656634163149352,0.052337352227729145
Oldham Athletic,23,0.21,0.17999227086410943,0.21,0.1890891014437496,0.24656634163149352,0.052337352227729145
Yeovil Town,24,0.04458969510995749,0.189053308284594,-0.2752712702438928,0.180369666566341,0.24656634163149352,0.052337352227729145
