id,o,os,d,ds,h,hs,sw_id,name
1,0.010573345777581823,0.19716108740556432,-0.12948169669915535,0.19171972453972394,0.1662891055469517,0.05376771513844465,709,Hartlepool United
2,0.06468746551127375,0.19426106921751507,0.34971779324543595,0.21305196350059324,0.1662891055469517,0.05376771513844465,715,Wrexham
3,0.021935424523981326,0.1963199540925258,0.025286071891009357,0.19752354423445412,0.1662891055469517,0.05376771513844465,723,Chesterfield
4,0.3059317412064677,0.18551863982084116,0.3058854673624405,0.2211695375457731,0.1662891055469517,0.05376771513844465,730,Notts County
5,-0.17767482361860482,0.20408622946134145,0.0895907405593415,0.20040976474652666,0.1662891055469517,0.05376771513844465,755,Barnet
6,-0.3600052960220881,0.2157463126474461,-0.19519777466166757,0.1899561506815121,0.1662891055469517,0.05376771513844465,756,Aldershot Town
7,0.17079494421979893,0.19073066948763803,0.07464122378734564,0.1991246536797685,0.1662891055469517,0.05376771513844465,762,Ebbsfleet United
8,-0.07077941704014457,0.20044018255007592,-0.008554028524357283,0.19642646586284124,0.1662891055469517,0.05376771513844465,763,Dagenham & Redbridge
9,-0.20500542837112168,0.20661953270501912,0.261591469630408,0.2090962893963881,0.1662891055469517,0.05376771513844465,768,Halifax Town
10,-0.05497046597389706,0.19971431178282092,0.0857137374759132,0.20256758757650103,0.1662891055469517,0.05376771513844465,4743,Barrow
11,0.3734971129722566,0.1825891329428393,-0.0652665930961557,0.1938904433384477,0.1662891055469517,0.05376771513844465,4746,Harrogate Town
12,0.008582900167345642,0.19735398685219846,-0.08027090475304229,0.19339284235131274,0.1662891055469517,0.05376771513844465,4760,Sutton United
13,-0.16385744839220964,0.20470663514155113,-0.2456935852827693,0.18668435716503942,0.1662891055469517,0.05376771513844465,4763,Maidenhead United
14,-0.17515333028225543,0.19150343220890473,-0.1754913819007324,0.18281909974189361,0.1662891055469517,0.05376771513844465,720,Stockport County
15,0.1480704189382984,0.19188736154592945,-0.1526772983068321,0.19100881070626474,0.1662891055469517,0.05376771513844465,4766,Eastleigh
16,-0.1755673879375014,0.19955474319500985,-0.17534873008231504,0.20231599839233555,0.1662891055469517,0.05376771513844465,727,Torquay United
17,-0.17538945753730242,0.2036567143342838,-0.17541135880349633,0.18319984583177837,0.1662891055469517,0.05376771513844465,760,Woking
18,0.2464001179500876,0.18753515464444884,-0.24804591853759503,0.18685746511690063,0.1662891055469517,0.05376771513844465,4845,Bromley
19,0.08305652162258285,0.1947471672384178,-0.16504122977799826,0.18947762862344533,0.1662891055469517,0.05376771513844465,4871,Dover Athletic
20,-0.00726697050954827,0.19674227006279635,-0.14598179223556054,0.18972999099567478,0.1662891055469517,0.05376771513844465,4943,Boreham Wood
21,-0.17523215314099876,0.2160489165595004,-0.17569416768519167,0.18267879005062881,0.1662891055469517,0.05376771513844465,4904,Chorley
22,0.2966658062381679,0.1853698391871708,0.21695903202997754,0.2075254150535318,0.1662891055469517,0.05376771513844465,8588,Solihull Moors
23,0.30535608744624435,0.183850490884839,0.30529087527932096,0.20512976556000345,0.1662891055469517,0.05376771513844465,735,Yeovil Town
24,0.28075177482294805,0.18661923219997606,0.2666053496404162,0.2101336940389709,0.1662891055469517,0.05376771513844465,13630,Fylde
