team,id,o,os,d,ds,h,hs
Barrow Raiders,1,0.7655039599090451,0.21898698335075342,-1.4836790885952773,0.21175053340741354,0.14367924505854435,0.03351954856757055
Batley Bulldogs,2,1.11146422546477,0.21575431145650031,-1.3841556819230258,0.21248570123735508,0.14367924505854435,0.03351954856757055
Dewsbury Rams,3,0.9017544550810239,0.21765664400096796,-1.4035161669666738,0.21228659701406163,0.14367924505854435,0.03351954856757055
Featherstone Rovers,4,1.5129640181675397,0.21284973715374655,-0.8931237434273753,0.21648243920431745,0.14367924505854435,0.03351954856757055
Halifax RLFC,5,1.2683894641986155,0.2141359664551065,-0.8138837478775726,0.21833609596664885,0.14367924505854435,0.03351954856757055
Leigh Centurions,6,1.5958806132761094,0.21193527774751297,-1.0616342950332094,0.21482167678146072,0.14367924505854435,0.03351954856757055
London Broncos,7,1.6514406733881577,0.2119041479207726,-0.8909753110752396,0.21706473931659523,0.14367924505854435,0.03351954856757055
Rochdale Hornets,8,0.6772426848371523,0.22018992649042698,-1.6005464908393818,0.2111939869178082,0.14367924505854435,0.03351954856757055
Sheffield Eagles,9,0.9298959978402236,0.21688188722584706,-1.5516606422943862,0.21214191649390582,0.14367924505854435,0.03351954856757055
Swinton Lions,10,0.8461021334071626,0.2185341161759019,-1.568874750361414,0.21148142014632695,0.14367924505854435,0.03351954856757055
Toronto Wolfpack,11,1.5853737536430081,0.2122292306321567,-0.7673658670903666,0.21723615157777476,0.14367924505854435,0.03351954856757055
Toulouse Olympique XIII,12,1.6385530345505495,0.21228091877868543,-0.9065370809617354,0.21634987471832606,0.14367924505854435,0.03351954856757055
