team,id,o,os,d,ds,h,hs
AFC Wimbledon,1,-0.15451852723711537,0.19792236473628289,-0.04829519087323546,0.1907452206590877,0.18054268656866015,0.05359885844830661
Burton Albion,2,0.34,0.17791258988467207,0.34,0.20735042392423877,0.18054268656866015,0.05359885844830661
Blackpool,3,0.08541985791252739,0.18834721249200878,-0.006071824989686312,0.19188525225419262,0.18054268656866015,0.05359885844830661
Bradford City,4,0.041655362616262126,0.19222912621902305,-0.20013116355510338,0.18470736455288753,0.18054268656866015,0.05359885844830661
Bristol Rovers,5,0.09228527433969384,0.18914673767388032,-0.18799446002750675,0.18433835035095944,0.18054268656866015,0.05359885844830661
Coventry City,6,-0.26,0.2089105641659885,-0.26,0.18092759426083763,0.18054268656866015,0.05359885844830661
Charlton Athletic,7,0.04936066321073335,0.18874648387756582,0.07093118080790829,0.19488459115470114,0.18054268656866015,0.05359885844830661
Doncaster Rovers,8,-0.05942090168964624,0.19540407460645523,0.054709465351618816,0.19428516593138198,0.18054268656866015,0.05359885844830661
Fleetwood Town,9,0.07762376897231586,0.1893365994909818,-0.2164956683344915,0.1839371952850107,0.18054268656866015,0.05359885844830661
Gillingham,10,-0.09610688175521667,0.19765223023341139,7.563470430328971e-4,0.19241898628789864,0.18054268656866015,0.05359885844830661
Wycombe Wanderers,11,-0.23,0.20423569420566076,-0.23,0.18300603163273133,0.18054268656866015,0.05359885844830661
Luton Town,12,-0.28,0.20323472288834296,-0.28,0.17989232569449454,0.18054268656866015,0.05359885844830661
Accrington Stanley,13,-0.12,0.19099131326668545,-0.12,0.18019336672264002,0.18054268656866015,0.05359885844830661
Oxford United,14,0.10997336585590682,0.18879202051372768,-0.1877398880527253,0.18487522811013601,0.18054268656866015,0.05359885844830661
Peterborough United,15,0.21381489903712908,0.1834037364214394,-0.09953532847831184,0.18823761063824576,0.18054268656866015,0.05359885844830661
Plymouth Argyle,16,0.0530899613120529,0.19075167010425637,-0.07511219001069423,0.18796642162865174,0.18054268656866015,0.05359885844830661
Portsmouth,17,0.035098710925055746,0.19110229708635823,-0.022559811943754383,0.1923066198317157,0.18054268656866015,0.05359885844830661
Rochdale,18,-0.09161319003553994,0.19822820369660016,-0.058247649685335176,0.1922994731046596,0.18054268656866015,0.05359885844830661
Sunderland,19,0.15,0.18137622202656997,0.15,0.19406755373895504,0.18054268656866015,0.05359885844830661
Scunthorpe United,20,0.1608666822182324,0.18425528922461282,0.08376231162034295,0.19741015165427322,0.18054268656866015,0.05359885844830661
Shrewsbury Town,21,0.07418153837036391,0.18928903246503573,0.3332101008836181,0.20840321486932517,0.18054268656866015,0.05359885844830661
Southend United,22,0.07988758959722657,0.1884118588260359,-0.14230913209782067,0.18640135247200773,0.18054268656866015,0.05359885844830661
Walsall,23,-0.029436426450932408,0.19239528811287895,-0.18286765644582434,0.18502727719575962,0.18054268656866015,0.05359885844830661
Barnsley,24,0.53,0.17357102875760788,0.53,0.22692995520297296,0.18054268656866015,0.05359885844830661
