team,id,o,os,d,ds,h,hs
Adelaide United,1,0.9936215035926211,0.2531328355905662,-0.9121490180277508,0.2541477120993795,-0.8197326188833666,0.08055178989971563
Brisbane Roar,2,0.759198489662117,0.2530633504640391,-1.3218430535350325,0.24752386965224546,-0.8197326188833666,0.08055178989971563
Central Coast Mariners,3,0.5832570838870194,0.2589819789677149,-1.2205684619833739,0.24835294447281,-0.8197326188833666,0.08055178989971563
Melbourne City,4,0.8234683134259336,0.2533983377721752,-1.0525670350748968,0.2525567013725425,-0.8197326188833666,0.08055178989971563
Melbourne Victory,5,0.7838596302577535,0.2537414457079009,0.09030542150483971,0.2893584335750169,-0.8197326188833666,0.08055178989971563
Newcastle Jets,6,0.16540076665738865,0.2765239732396034,-1.3892963980822397,0.24598879404235,-0.8197326188833666,0.08055178989971563
Perth Glory,7,0.32621096536707084,0.26819973946174125,0.3670270830438858,0.30141115558461656,-0.8197326188833666,0.08055178989971563
Sydney,8,0.9483252001808151,0.25065072859072535,0.0324588043694406,0.29137517712688465,-0.8197326188833666,0.08055178989971563
Wellington Phoenix,9,0.9500727863854534,0.2538547426974958,-0.8178579492363335,0.2577690369593241,-0.8197326188833666,0.08055178989971563
Western Sydney Wanderers,10,0.9841251985011064,0.25432538399530874,-1.031019556618754,0.2514883878342035,-0.8197326188833666,0.08055178989971563
