team,id,o,os,d,ds,h,hs
Astra,1,0.10703851777169833,0.25268219988693386,0.24793205105656063,0.27613999345282436,0.17521429636995603,0.09569879143116967
CFR Cluj,3,0.226647587710257,0.2461232617816366,0.5809888941121407,0.3003861278171478,0.17521429636995603,0.09569879143116967
FCSB,2,0.48702287282049617,0.23570949707265756,-0.01644608978585388,0.2623221729790697,0.17521429636995603,0.09569879143116967
Sepsi,4,0.052008048289732635,0.2544671541189667,0.17115580047440296,0.26983198120271296,0.17521429636995603,0.09569879143116967
Universitatea Craiova,5,0.3444345776735526,0.2420398532200549,0.18443266463140948,0.27375967721286903,0.17521429636995603,0.09569879143116967
Viitorul,6,-0.1462486684137701,0.2658042083966047,0.10825108357301409,0.2676211172758509,0.17521429636995603,0.09569879143116967
