team,id,o,os,d,ds,h,hs
Amiens SC,1,-0.21898410227258544,0.2247720173701262,0.20496740582750708,0.21978655782105178,0.23530325981384329,0.06321792524929815
Angers SCO,2,-0.10479894834711291,0.21636682057045378,-0.05963604762379905,0.20718681026604926,0.23530325981384329,0.06321792524929815
Bordeaux,3,0.12212457568849673,0.20519128959431032,0.00936522686399135,0.20990415674700877,0.23530325981384329,0.06321792524929815
Caen,4,-0.5109948903647916,0.24406369583920912,-0.06215437246825194,0.20926062999910788,0.23530325981384329,0.06321792524929815
Dijon,5,0.1781686984939721,0.2053738299772416,-0.3499147709910017,0.19853543871632762,0.23530325981384329,0.06321792524929815
Guingamp,6,0.05753985500625941,0.21118383414456954,-0.18653292235245067,0.20249536063689594,0.23530325981384329,0.06321792524929815
Lille,7,-0.11363657347678749,0.2168034674849897,-0.31176451682878425,0.19893677763555576,0.23530325981384329,0.06321792524929815
Metz,8,-0.2603296099060044,0.2276536359781498,-0.45611639809593,0.19381274722362754,0.23530325981384329,0.06321792524929815
Monaco,9,0.6147561667802929,0.18985067144382958,0.022609461427208405,0.2130862102967767,0.23530325981384329,0.06321792524929815
Montpellier,10,-0.26504787659342627,0.22733758168618182,0.4043912569941757,0.2328694082331949,0.23530325981384329,0.06321792524929815
Nantes,11,-0.27124599700135155,0.22558461178707212,0.16592639589562058,0.21889487792334056,0.23530325981384329,0.06321792524929815
Nice,12,0.12155201772691304,0.20802939067067525,-0.09244736479082279,0.20699568877014055,0.23530325981384329,0.06321792524929815
Olympique Lyonnais,13,0.6126861898603998,0.18896204729591234,0.08491814064344433,0.2163062118419044,0.23530325981384329,0.06321792524929815
Olympique Marseille,14,0.5335927933366671,0.19057220451512652,0.0046953533131369445,0.2113899596115346,0.23530325981384329,0.06321792524929815
PSG,15,0.7783016726772485,0.18492766786536743,0.4278592288667421,0.23864517512926048,0.23530325981384329,0.06321792524929815
Rennes,16,0.056379147644103164,0.20917072153754132,0.1188597242004704,0.21633168173941486,0.23530325981384329,0.06321792524929815
Saint-Étienne,17,-0.03804302583827617,0.21421069045434182,-0.041209136600787365,0.20745923259035337,0.23530325981384329,0.06321792524929815
Strasbourg,18,-0.05223587972089078,0.21732812417728883,-0.3188249874850629,0.19696543507173622,0.23530325981384329,0.06321792524929815
Toulouse,19,-0.17840814926651466,0.2249989838703841,-0.10940218517120318,0.20628204107446205,0.23530325981384329,0.06321792524929815
Troyes,20,-0.34145361752679176,0.23141459938603162,-0.1749303512059099,0.20467027673872795,0.23530325981384329,0.06321792524929815
