team,id,o,os,d,ds,h,hs
Akhmat Grozny,1,-0.14457622423601219,0.25186398511062824,0.044806256519619315,0.24691090349009737,0.25130898821687525,0.08576190656979497
Amkar Perm',2,-0.5545790255024131,0.2829541637278591,0.12195880124765125,0.2514773294762772,0.25130898821687525,0.08576190656979497
Anzhi,3,-0.0711730370853321,0.2500686859710638,-0.464474713176269,0.22355709732819715,0.25130898821687525,0.08576190656979497
Arsenal Tula,4,0.027531541247209874,0.24592216927835445,-0.1728156907997406,0.23911299287724835,0.25130898821687525,0.08576190656979497
CSKA Moskva,5,0.34201238515532056,0.22906834261017764,0.3467397790789632,0.27167684492876243,0.25130898821687525,0.08576190656979497
Dinamo Moskva,6,-0.21957358293195947,0.2594728853947996,0.17056567444938414,0.25740924423473666,0.25130898821687525,0.08576190656979497
Krasnodar,7,0.2736154015179783,0.23293197620047704,0.11056766058754229,0.25198755086222147,0.25130898821687525,0.08576190656979497
Lokomotiv Moskva,8,0.14125472204172482,0.23484816730983063,0.4678203123965769,0.2750398849911994,0.25130898821687525,0.08576190656979497
Rostov,9,-0.25455625706120805,0.25695949493031217,0.2120808567386483,0.25458319503069426,0.25130898821687525,0.08576190656979497
Rubin Kazan',10,-0.0684012419542333,0.25238926209652307,0.2917624785844372,0.2618253048631092,0.25130898821687525,0.08576190656979497
SKA Khabarovsk,11,-0.6832471189178517,0.2946902645797894,-0.4525398883856882,0.22531024605576036,0.25130898821687525,0.08576190656979497
Spartak Moskva,12,0.36377385914203353,0.22760082090613867,0.06975712335679447,0.2535653008297164,0.25130898821687525,0.08576190656979497
Tosno,13,-0.3376447650962362,0.26788711092694273,-0.44953380608623333,0.2238361447597233,0.25130898821687525,0.08576190656979497
Ufa,14,-0.028337568393595518,0.24601791870365278,0.1674720311664946,0.2533036561635111,0.25130898821687525,0.08576190656979497
Ural,15,-0.11262989614277527,0.2511239228968371,0.07401632522362664,0.24485397958252503,0.25130898821687525,0.08576190656979497
Zenit,16,0.23519764746984603,0.23042421837792107,0.4591380331892019,0.2750894684086554,0.25130898821687525,0.08576190656979497
