team,id,o,os,d,ds,h,hs
AaB,1,-0.15973675179577668,0.24683483989187438,0.1725697420789174,0.24057833561980163,0.29777372805858704,0.07673663036119638
AGF,2,-0.0581348621640078,0.23741556461155314,-0.08955746875504707,0.2341019986947471,0.29777372805858704,0.07673663036119638
Brøndby,3,0.5708803220685091,0.21964187398987164,0.2842739197695756,0.24771227227033213,0.29777372805858704,0.07673663036119638
FC Helsingør,4,-0.38876491259915863,0.2634758748419875,-0.35206209951259587,0.22783297577254222,0.29777372805858704,0.07673663036119638
Hobro,5,-0.04678847883005976,0.24017291391745263,0.04269615295912736,0.24108466126944064,0.29777372805858704,0.07673663036119638
Horsens,6,-0.01172736722241238,0.24118579904731743,-0.08657519844475746,0.22990830280146102,0.29777372805858704,0.07673663036119638
København,7,0.38098340244804796,0.22400534518002632,0.09503786659392889,0.2360394640165358,0.29777372805858704,0.07673663036119638
Lyngby,8,-0.14710634433103678,0.251083561595577,-0.4261028184961178,0.22475513420191523,0.29777372805858704,0.07673663036119638
Midtjylland,9,0.5345656711016805,0.22181435136511615,0.21121237867515655,0.2465700603198587,0.29777372805858704,0.07673663036119638
Nordsjælland,10,0.5385883128783037,0.22079343660097078,-0.15384286522639973,0.23043522634381328,0.29777372805858704,0.07673663036119638
OB,11,0.05034352344849007,0.23740307413890924,0.021265699707771434,0.24211790187049598,0.29777372805858704,0.07673663036119638
Randers,12,-0.2515340825109769,0.25709090453469885,-0.1995326430326716,0.2328211209009157,0.29777372805858704,0.07673663036119638
Silkeborg,13,-0.05522478403865008,0.24915898402751263,-0.3743928832199261,0.2281992326539572,0.29777372805858704,0.07673663036119638
SønderjyskE,14,-0.020217990491825207,0.23609127689939663,-0.015402462285985184,0.23731753496456143,0.29777372805858704,0.07673663036119638
